===== Export Data Var P =====
RobotTypeName :,VP-5243
RobotTypeID :,65,0
File Version :,2
[No.],[X],[Y],[Z],[RX],[RY],[RZ],[FIG],[using],[macro name]
0,81.18240356445312,276.92170410156245,400,180,0,0,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
1,81.18240356445312,276.92170410156245,400,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
2,81.18240356445312,276.92170410156245,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
3,244.9414825439453,314.1004455566406,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
4,-82.57667541503906,239.74300537109374,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
5,244.9414825439453,314.1004455566406,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
6,-82.57667541503906,239.74300537109374,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
7,244.9414825439453,314.1004455566406,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
8,-82.57667541503906,239.74300537109374,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
9,81.18240356445312,276.92170410156245,180,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
10,81.18240356445312,276.92170410156245,400,180,0,-12.791206354520888,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
11,81.18240356445312,276.92170410156245,400,180,0,0,13 - Lefty | Above | NonFlip | J6Double | J4Single | J1Single
